,0,0
0,5942,50.628628
1,18664,51.64933
2,5603,53.277237
3,5649,53.485237
4,5099,52.84372
5,18749,52.874226
6,5228,50.856525
7,5559,52.031815
8,5220,52.15162
9,5476,53.645454
10,5260,52.256786
11,17638,50.340164
12,18635,52.35635
13,18794,41.659355
14,5263,52.67089
15,17680,78.29346
16,18030,52.668465
17,18090,50.48329
18,18455,53.427593
19,18155,53.516068
20,18116,58.32913
21,18144,50.147205
22,5218,76.00411
23,5386,55.707497
24,18105,49.40749
25,5735,53.348946
26,5900,52.45815
27,18391,52.633644
28,5786,54.421925
29,18639,51.261402
30,17984,51.906754
31,18274,50.525795
32,5425,52.39464
33,6076,54.892117
34,18545,51.908707
35,17697,53.72116
36,6137,51.885456
37,6083,52.36344
38,17730,50.13366
39,5896,45.56386
40,18906,50.393486
41,17808,51.845585
42,6078,53.276627
43,5516,54.063786
44,18093,51.693134
45,6120,50.397736
46,18154,52.37695
47,17935,52.54794
48,18769,81.23274
49,18264,51.261402
50,18076,48.04599
51,18035,53.14403
52,18051,52.24533
53,18676,50.58469
54,5332,52.385162
55,5898,75.84868
56,18370,50.1796
57,17706,51.842266
58,5198,52.74337
59,18360,51.6679
60,18240,51.856583
61,18691,50.18366
62,5768,51.518757
63,18315,49.838326
64,18776,51.53636
65,6225,54.22159
66,17983,60.35512
67,17973,50.217224
68,5805,50.271614
69,5500,51.659657
70,5305,52.72115
71,18243,50.068306
72,5169,53.652298
73,5258,49.836617
74,17810,58.3591
75,5714,51.21942
76,6070,53.34392
77,5959,53.32009
78,18771,50.40123
79,17765,49.805202
80,18822,49.8721
81,17735,61.024
82,17966,49.713642
83,18861,50.322163
84,18236,54.205494
85,18750,65.79357
86,17809,45.47568
87,6049,51.261402
88,18465,51.289677
89,6201,51.954865
90,18877,52.86205
91,5087,53.065346
92,17742,51.828045
93,17941,60.11007
94,18421,51.618584
95,18489,51.43451
96,6299,55.258125
97,18428,49.45397
98,5563,53.433563
99,18796,37.14673
100,5849,54.154335
101,5661,51.441677
102,5893,50.02182
103,5378,69.60775
104,5622,51.951538
105,5823,52.996532
106,18521,51.261402
107,5502,51.655834
108,18785,52.28173
109,17783,52.580444
110,18424,59.019173
111,18147,50.04001
112,18881,40.673668
113,18851,50.918472
114,17686,50.950367
115,5100,52.37124
116,5213,54.356647
117,18252,53.622055
118,5576,49.964622
119,18050,52.77945
120,5875,53.66093
121,6059,52.538605
122,18599,51.376034
123,5173,51.261402
124,5461,50.28487
125,5151,61.3252
126,5266,51.67794
127,5514,56.679092
128,5224,50.785374
129,18069,52.745445
130,5587,52.500732
131,17874,49.447594
132,5536,53.380276
133,5215,51.261402
134,5400,50.776855
135,17857,49.76262
136,6043,50.424355
137,18330,52.197433
138,18333,50.650536
139,17788,52.234314
140,18332,48.67236
141,17836,50.106247
142,5247,52.20256
143,5922,53.851013
144,18641,68.31449
145,5951,65.10061
146,18807,50.663967
147,18293,55.351215
148,18775,50.055134
149,5601,50.877335
150,5102,49.932888
151,18464,51.932735
152,17713,52.925724
153,18557,50.121147
154,18854,51.258774
155,18401,51.762062
156,18699,76.25224
157,5706,45.72999
158,5747,53.840714
159,5496,53.681988
160,18308,49.926716
161,5345,43.145275
162,18525,51.302753
163,18258,59.234245
164,6062,52.584
165,17921,53.895885
166,5303,52.55782
167,18592,51.261402
168,5814,53.69089
169,18805,50.157017
170,5910,52.83164
171,5201,54.54746
172,5724,63.708675
173,17693,49.52226
174,5407,51.48667
175,18617,53.426422
176,18173,52.291782
177,18875,51.261402
178,5225,51.472767
179,5858,51.261402
180,5091,53.349888
181,5254,49.648174
182,18801,51.782776
183,6009,53.482975
184,18149,52.124054
185,6105,50.83468
186,5974,51.360977
187,17967,69.974884
188,5781,54.362114
189,5834,51.149124
190,17683,51.261402
191,5338,52.049576
192,18400,59.399784
193,18633,51.05752
194,6162,52.806217
195,18598,49.599537
196,5212,49.491806
197,18731,49.320133
198,18177,52.2602
199,5232,53.45088
200,5753,52.3479
201,5118,54.165417
202,18055,63.177254
203,18151,63.113033
204,5572,51.261402
205,18502,50.09043
206,18178,49.31448
207,6276,49.462555
208,5226,59.30104
209,18411,49.407936
210,6134,52.6899
211,5177,52.675842
212,18031,51.42927
213,17853,51.453674
214,6171,53.72237
215,5725,53.090805
216,6282,52.138252
217,18762,51.74176
218,17909,49.54006
219,18357,51.261402
220,5981,53.885067
221,5862,51.8008
222,18461,52.169918
223,5275,52.14064
224,6084,51.324856
225,18403,51.364048
226,17856,52.681286
227,17723,50.246628
228,6103,49.65342
229,17897,52.70918
230,6042,51.450912
231,6219,73.49422
232,5697,64.807335
233,18636,54.828827
234,5343,52.506195
235,5994,50.42218
236,5956,53.667057
237,5666,52.241505
238,18791,52.603233
239,5686,52.842438
240,6027,51.709103
241,5751,51.72363
242,18812,68.16101
243,18688,52.280704
244,18441,54.905533
245,5508,52.62574
246,5889,51.261402
247,5843,53.673084
248,5459,52.220665
249,18141,51.767517
250,18757,63.43543
251,6313,49.678627
252,6032,60.897953
253,18475,51.261402
254,17702,52.474487
255,5815,53.68908
256,18816,52.08277
257,18589,52.944366
258,17738,52.26897
259,18553,49.739452
260,5538,54.275166
261,18472,49.809772
262,5453,52.045067
263,18026,51.661427
264,18409,51.36906
265,5444,52.121323
266,17965,51.866592
267,18541,52.83799
268,5371,52.58665
269,6051,53.663956
270,18882,49.613346
271,5108,52.034863
272,6005,74.340904
273,5380,51.261402
274,6151,53.301285
275,18195,51.261402
276,17695,49.507725
277,5101,51.81787
278,5255,51.638706
279,5579,53.77774
280,18509,51.918102
281,5257,53.127808
282,6310,44.961422
283,5431,49.139713
284,17703,50.923824
285,18316,51.645523
286,5174,52.66022
287,18337,52.045666
288,18515,52.188885
289,17993,52.86863
290,6232,52.23624
291,5339,51.261402
292,5972,53.455914
293,6097,52.293777
294,5130,52.905273
295,5934,52.460438
296,17646,50.86119
297,5803,54.06604
298,18134,72.19123
299,18301,48.973896
300,18071,51.70986
301,5973,52.575504
302,17972,58.643436
303,6212,71.79858
304,17886,51.42106
305,18584,51.261402
306,18027,59.234245
307,5093,51.86113
308,5817,49.286667
309,5519,50.71013
310,18127,49.232143
311,6144,51.261402
312,5430,53.231285
313,6179,51.53674
314,5921,51.261402
315,5788,51.261402
316,17960,51.261402
317,5682,51.387947
318,5713,49.326378
319,18735,50.496704
320,18693,51.869972
321,6256,51.14181
322,18064,53.104286
323,18302,49.12618
324,5620,51.261402
325,18010,51.91195
326,18647,53.557182
327,5749,51.039116
328,18286,51.261402
329,5381,49.214767
330,6012,52.856792
331,18043,52.321106
332,18845,47.997646
333,17736,52.133255
334,17919,49.480267
335,5297,51.176083
336,17651,49.532475
337,5109,49.21298
338,5756,52.164165
339,17628,49.35188
340,6237,52.07012
341,18407,51.261402
342,5157,51.880783
343,17902,51.665867
344,18650,50.18925
345,5589,51.659576
346,6010,54.595844
347,18792,51.759632
348,17932,51.940174
349,18568,51.50868
350,17684,51.261402
351,5573,49.309124
352,17685,49.380478
353,5948,47.942997
354,5469,51.776176
355,18736,61.924915
